threshold,accuracy,macro_f1,weighted_f1,other_unclear_count,keyword_count,semantic_count,low_confidence_count
0.4,0.58,0.5935302459593,0.5807237081760401,54,58,88,54
0.45,0.575,0.5923950518778803,0.5765721066098856,70,58,72,70
0.5,0.54,0.5667661170286019,0.5440637026185552,79,58,63,79
0.55,0.525,0.5557218191421988,0.532903571879477,89,58,53,89
0.6,0.515,0.5464986917551754,0.5228011130004837,95,58,47,95
0.65,0.5,0.5311319105140307,0.5108038152595527,102,58,40,102
0.7,0.48,0.5114901801631181,0.48948746891646605,112,58,30,112
0.75,0.455,0.48559836870962986,0.46031306644403386,118,58,24,118
0.8,0.435,0.4662879081948088,0.43938982090420714,124,58,18,124
